concept,entity,actual,predicted,human,missing data,missing relation,incorrect relation,incorrect reasoning
Argentine football manager,Héctor Gabriel Morales,negative,positive,positive,FALSE,TRUE,FALSE,FALSE
State leader in 2014,Barry Haase,positive,negative,positive,FALSE,FALSE,FALSE,TRUE
State leader in 2014,Zlatko Lagumdžija,negative,positive,positive,FALSE,FALSE,FALSE,TRUE
Hill station in India,Noney,positive,negative,positive,FALSE,FALSE,FALSE,TRUE
Hill station in India,Ganjam district,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Hill station in India,Jasidih,positive,negative,positive,FALSE,FALSE,FALSE,TRUE
Newspaper in New South Wales,Oceania (journal),positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Newspaper in New South Wales,The Northern Times,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Newspaper in New South Wales,Parramatta Advertiser,negative,positive,positive,FALSE,TRUE,FALSE,FALSE
Newspaper in New South Wales,The Free Thought,negative,positive,positive,FALSE,TRUE,FALSE,FALSE
FK Sarajevo player,Darko Raca,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
FK Sarajevo player,Vule Trivunović,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
FK Sarajevo player,Sretko Vuksanović,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
FK Sarajevo player,Vukašin Višnjevac,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
FK Sarajevo player,Frank Liivak,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
FK Sarajevo player,Said Fazlagić,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
FK Sarajevo player,Tino-Sven Sušić,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
FK Sarajevo player,Almedin Hota,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
FK Sarajevo player,Nemanja Mijušković,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Medalist at the 2019 Summer Universiade,Lauren Scherf,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Medalist at the 2019 Summer Universiade,Alessia Russo (gymnast),positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Romania international rugby union player,Piti (footballer),positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Romania international rugby union player,Iosif Nemes,negative,positive,positive,FALSE,TRUE,FALSE,FALSE
Romania international rugby union player,Teodor Marian,negative,positive,positive,FALSE,TRUE,FALSE,FALSE
Romania international rugby union player,Atanasie Tănăsescu,negative,positive,positive,FALSE,TRUE,FALSE,FALSE
Romania international rugby union player,Mihai Vardală,negative,positive,positive,FALSE,TRUE,FALSE,FALSE
Romania international rugby union player,Dumitru Volvoreanu,negative,positive,positive,FALSE,TRUE,FALSE,FALSE
Romania international rugby union player,Tevita Manumua,negative,positive,positive,FALSE,TRUE,FALSE,FALSE
Romania international rugby union player,Alexandru Grigore,negative,positive,positive,FALSE,TRUE,FALSE,FALSE
Romania international rugby union player,Ion Gîrleșteanu,negative,positive,positive,FALSE,TRUE,FALSE,FALSE
Romania international rugby union player,Paul Nedelcovici,negative,positive,positive,FALSE,TRUE,FALSE,FALSE
Romania international rugby union player,Dumitru Armășel,negative,positive,positive,FALSE,TRUE,FALSE,FALSE
Romania international rugby union player,Sorin Mihăilescu,negative,positive,positive,FALSE,TRUE,FALSE,FALSE
Romania international rugby union player,Paul Vidrașcu,negative,positive,positive,FALSE,TRUE,FALSE,FALSE
"Member of the European Parliament, 1989–1994",Robert Krieps,positive,negative,positive,FALSE,FALSE,FALSE,TRUE
"Member of the European Parliament, 1989–1994",Dick Ukeiwé,negative,positive,positive,FALSE,FALSE,TRUE,FALSE
"Member of the European Parliament, 1989–1994",Piet Dankert,negative,positive,positive,FALSE,FALSE,TRUE,FALSE
"Member of the European Parliament, 1989–1994",Adelaide Aglietta,negative,positive,positive,FALSE,FALSE,TRUE,FALSE
